"episode_no","slug","title","source_book","source_chapter","source_verses_or_boundary","original_summary_seed","must_include","must_avoid","start_boundary","end_boundary","age_range","age_sensitivity","devotional_theme","suggested_activity_category","package_type","enabled"
"055","krishna-the-ranacora","Krishna, the Ranacora","Krishna Book","52","Complete Krishna Book Chapter 52","This source-bounded episode follows Krishna, the Ranacora and presents its central turning point with child-safe clarity, chronological fidelity, and a devotional focus.","central event of Chapter 52|chronological source boundary|devotional lesson","full source quotation|material from Chapter 51|material from Chapter 53","Opening of Krishna Book Chapter 52","Conclusion of Krishna Book Chapter 52","6-12","standard","Krishna's protection wisdom and loving relationships","MATCHING_GAME","bedtime_story","true"
"056","krishna-kidnaps-rukmini","Krishna Kidnaps Rukmini","Krishna Book","53","Complete Krishna Book Chapter 53","This source-bounded episode follows Krishna Kidnaps Rukmini and presents its central turning point with child-safe clarity, chronological fidelity, and a devotional focus.","central event of Chapter 53|chronological source boundary|devotional lesson","full source quotation|material from Chapter 52|material from Chapter 54","Opening of Krishna Book Chapter 53","Conclusion of Krishna Book Chapter 53","6-12","gentle child adaptation required","Krishna's protection wisdom and loving relationships","STORY_MAP","bedtime_story","true"
"057","krishna-defeats-all-the-princes-and-takes-rukmini-home-to-dvaraka","Krishna Defeats All the Princes and Takes Rukmini Home to Dvaraka","Krishna Book","54","Complete Krishna Book Chapter 54","This source-bounded episode follows Krishna Defeats All the Princes and Takes Rukmini Home to Dvaraka and presents its central turning point with child-safe clarity, chronological fidelity, and a devotional focus.","central event of Chapter 54|chronological source boundary|devotional lesson","full source quotation|material from Chapter 53|material from Chapter 55","Opening of Krishna Book Chapter 54","Conclusion of Krishna Book Chapter 54","6-12","standard","Krishna's protection wisdom and loving relationships","FAMILY_MISSION","bedtime_story","true"
"058","pradyumna-born-to-krishna-and-rukmini","Pradyumna Born to Krishna and Rukmini","Krishna Book","55","Complete Krishna Book Chapter 55","This source-bounded episode follows Pradyumna Born to Krishna and Rukmini and presents its central turning point with child-safe clarity, chronological fidelity, and a devotional focus.","central event of Chapter 55|chronological source boundary|devotional lesson","full source quotation|material from Chapter 54|material from Chapter 56","Opening of Krishna Book Chapter 55","Conclusion of Krishna Book Chapter 55","6-12","standard","Krishna's protection wisdom and loving relationships","DRAW_AND_REFLECT","bedtime_story","true"
"059","the-story-of-the-syamantaka-jewel","The Story of the Syamantaka Jewel","Krishna Book","56","Complete Krishna Book Chapter 56","This source-bounded episode follows The Story of the Syamantaka Jewel and presents its central turning point with child-safe clarity, chronological fidelity, and a devotional focus.","central event of Chapter 56|chronological source boundary|devotional lesson","full source quotation|material from Chapter 55|material from Chapter 57","Opening of Krishna Book Chapter 56","Conclusion of Krishna Book Chapter 56","6-12","standard","Krishna's protection wisdom and loving relationships","STORY_SEQUENCE","bedtime_story","true"
"060","krishna-protects-everyone-from-satrajit-and-satadhanva","Krishna Protects Everyone from Satrajit and Satadhanva","Krishna Book","57","Complete Krishna Book Chapter 57","This source-bounded episode follows The Killing of Satrajit and Satadhanva and presents its central turning point with child-safe clarity, chronological fidelity, and a devotional focus.","central event of Chapter 57|chronological source boundary|devotional lesson","full source quotation|material from Chapter 56|material from Chapter 58","Opening of Krishna Book Chapter 57","Conclusion of Krishna Book Chapter 57","6-12","gentle child adaptation required","Krishna's protection wisdom and loving relationships","MINI_DRAMA","bedtime_story","true"
"061","five-queens-married-by-krishna","Five Queens Married by Krishna","Krishna Book","58","Complete Krishna Book Chapter 58","This source-bounded episode follows Five Queens Married by Krishna and presents its central turning point with child-safe clarity, chronological fidelity, and a devotional focus.","central event of Chapter 58|chronological source boundary|devotional lesson","full source quotation|material from Chapter 57|material from Chapter 59","Opening of Krishna Book Chapter 58","Conclusion of Krishna Book Chapter 58","6-12","standard","Krishna's protection wisdom and loving relationships","MATCHING_GAME","bedtime_story","true"
"062","the-deliverance-of-the-demon-bhaumasura","The Deliverance of the Demon Bhaumasura","Krishna Book","59","Complete Krishna Book Chapter 59","This source-bounded episode follows The Deliverance of the Demon Bhaumasura and presents its central turning point with child-safe clarity, chronological fidelity, and a devotional focus.","central event of Chapter 59|chronological source boundary|devotional lesson","full source quotation|material from Chapter 58|material from Chapter 60","Opening of Krishna Book Chapter 59","Conclusion of Krishna Book Chapter 59","6-12","gentle child adaptation required","Krishna's protection wisdom and loving relationships","STORY_MAP","bedtime_story","true"
"063","talks-between-krishna-and-rukmini","Talks Between Krishna and Rukmini","Krishna Book","60","Complete Krishna Book Chapter 60","This source-bounded episode follows Talks Between Krishna and Rukmini and presents its central turning point with child-safe clarity, chronological fidelity, and a devotional focus.","central event of Chapter 60|chronological source boundary|devotional lesson","full source quotation|material from Chapter 59|material from Chapter 61","Opening of Krishna Book Chapter 60","Conclusion of Krishna Book Chapter 60","6-12","standard","Krishna's protection wisdom and loving relationships","FAMILY_MISSION","bedtime_story","true"
"064","the-genealogy-of-the-family-of-krishna","The Genealogy of the Family of Krishna","Krishna Book","61","Complete Krishna Book Chapter 61","This source-bounded episode follows The Genealogy of the Family of Krishna and presents its central turning point with child-safe clarity, chronological fidelity, and a devotional focus.","central event of Chapter 61|chronological source boundary|devotional lesson","full source quotation|material from Chapter 60|material from Chapter 62","Opening of Krishna Book Chapter 61","Conclusion of Krishna Book Chapter 61","6-12","standard","Krishna's protection wisdom and loving relationships","DRAW_AND_REFLECT","bedtime_story","true"
"065","the-meeting-of-usa-and-aniruddha","The Meeting of Usa and Aniruddha","Krishna Book","62","Complete Krishna Book Chapter 62","This source-bounded episode follows The Meeting of Usa and Aniruddha and presents its central turning point with child-safe clarity, chronological fidelity, and a devotional focus.","central event of Chapter 62|chronological source boundary|devotional lesson","full source quotation|material from Chapter 61|material from Chapter 63","Opening of Krishna Book Chapter 62","Conclusion of Krishna Book Chapter 62","6-12","standard","Krishna's protection wisdom and loving relationships","STORY_SEQUENCE","bedtime_story","true"
"066","lord-krishna-fights-with-banasura","Lord Krishna Fights with Banasura","Krishna Book","63","Complete Krishna Book Chapter 63","This source-bounded episode follows Lord Krishna Fights with Banasura and presents its central turning point with child-safe clarity, chronological fidelity, and a devotional focus.","central event of Chapter 63|chronological source boundary|devotional lesson","full source quotation|material from Chapter 62|material from Chapter 64","Opening of Krishna Book Chapter 63","Conclusion of Krishna Book Chapter 63","6-12","standard","Krishna's protection wisdom and loving relationships","MINI_DRAMA","bedtime_story","true"
"067","the-story-of-king-nrga","The Story of King Nrga","Krishna Book","64","Complete Krishna Book Chapter 64","This source-bounded episode follows The Story of King Nrga and presents its central turning point with child-safe clarity, chronological fidelity, and a devotional focus.","central event of Chapter 64|chronological source boundary|devotional lesson","full source quotation|material from Chapter 63|material from Chapter 65","Opening of Krishna Book Chapter 64","Conclusion of Krishna Book Chapter 64","6-12","standard","Krishna's protection wisdom and loving relationships","MATCHING_GAME","bedtime_story","true"
"068","lord-balarama-visits-vrindavana","Lord Balarama Visits Vrindavana","Krishna Book","65","Complete Krishna Book Chapter 65","This source-bounded episode follows Lord Balarama Visits Vrindavana and presents its central turning point with child-safe clarity, chronological fidelity, and a devotional focus.","central event of Chapter 65|chronological source boundary|devotional lesson","full source quotation|material from Chapter 64|material from Chapter 66","Opening of Krishna Book Chapter 65","Conclusion of Krishna Book Chapter 65","6-12","standard","Krishna's protection wisdom and loving relationships","STORY_MAP","bedtime_story","true"
"069","the-deliverance-of-paundraka-and-the-king-of-kasi","The Deliverance of Paundraka and the King of Kasi","Krishna Book","66","Complete Krishna Book Chapter 66","This source-bounded episode follows The Deliverance of Paundraka and the King of Kasi and presents its central turning point with child-safe clarity, chronological fidelity, and a devotional focus.","central event of Chapter 66|chronological source boundary|devotional lesson","full source quotation|material from Chapter 65|material from Chapter 67","Opening of Krishna Book Chapter 66","Conclusion of Krishna Book Chapter 66","6-12","standard","Krishna's protection wisdom and loving relationships","FAMILY_MISSION","bedtime_story","true"
"070","the-deliverance-of-dvivida-gorilla","The Deliverance of Dvivida Gorilla","Krishna Book","67","Complete Krishna Book Chapter 67","This source-bounded episode follows The Deliverance of Dvivida Gorilla and presents its central turning point with child-safe clarity, chronological fidelity, and a devotional focus.","central event of Chapter 67|chronological source boundary|devotional lesson","full source quotation|material from Chapter 66|material from Chapter 68","Opening of Krishna Book Chapter 67","Conclusion of Krishna Book Chapter 67","6-12","standard","Krishna's protection wisdom and loving relationships","DRAW_AND_REFLECT","bedtime_story","true"
"071","the-marriage-of-samba","The Marriage of Samba","Krishna Book","68","Complete Krishna Book Chapter 68","This source-bounded episode follows The Marriage of Samba and presents its central turning point with child-safe clarity, chronological fidelity, and a devotional focus.","central event of Chapter 68|chronological source boundary|devotional lesson","full source quotation|material from Chapter 67|material from Chapter 69","Opening of Krishna Book Chapter 68","Conclusion of Krishna Book Chapter 68","6-12","standard","Krishna's protection wisdom and loving relationships","STORY_SEQUENCE","bedtime_story","true"
"072","the-great-sage-narada-visits-the-different-homes-of-lord-krishna","The Great Sage Narada Visits the Different Homes of Lord Krishna","Krishna Book","69","Complete Krishna Book Chapter 69","This source-bounded episode follows The Great Sage Narada Visits the Different Homes of Lord Krishna and presents its central turning point with child-safe clarity, chronological fidelity, and a devotional focus.","central event of Chapter 69|chronological source boundary|devotional lesson","full source quotation|material from Chapter 68|material from Chapter 70","Opening of Krishna Book Chapter 69","Conclusion of Krishna Book Chapter 69","6-12","standard","Krishna's protection wisdom and loving relationships","MINI_DRAMA","bedtime_story","true"
"073","lord-krishna-s-daily-activities","Lord Krishna's Daily Activities","Krishna Book","70","Complete Krishna Book Chapter 70","This source-bounded episode follows Lord Krishna's Daily Activities and presents its central turning point with child-safe clarity, chronological fidelity, and a devotional focus.","central event of Chapter 70|chronological source boundary|devotional lesson","full source quotation|material from Chapter 69|material from Chapter 71","Opening of Krishna Book Chapter 70","Conclusion of Krishna Book Chapter 70","6-12","standard","Krishna's protection wisdom and loving relationships","MATCHING_GAME","bedtime_story","true"
"074","lord-krishna-in-indraprastha-city","Lord Krishna in Indraprastha City","Krishna Book","71","Complete Krishna Book Chapter 71","This source-bounded episode follows Lord Krishna in Indraprastha City and presents its central turning point with child-safe clarity, chronological fidelity, and a devotional focus.","central event of Chapter 71|chronological source boundary|devotional lesson","full source quotation|material from Chapter 70|material from Chapter 72","Opening of Krishna Book Chapter 71","Conclusion of Krishna Book Chapter 71","6-12","standard","Krishna's protection wisdom and loving relationships","STORY_MAP","bedtime_story","true"
"075","the-liberation-of-king-jarasandha","The Liberation of King Jarasandha","Krishna Book","72","Complete Krishna Book Chapter 72","This source-bounded episode follows The Liberation of King Jarasandha and presents its central turning point with child-safe clarity, chronological fidelity, and a devotional focus.","central event of Chapter 72|chronological source boundary|devotional lesson","full source quotation|material from Chapter 71|material from Chapter 73","Opening of Krishna Book Chapter 72","Conclusion of Krishna Book Chapter 72","6-12","gentle child adaptation required","Krishna's protection wisdom and loving relationships","FAMILY_MISSION","bedtime_story","true"
"076","lord-krishna-returns-to-the-city-of-hastinapura","Lord Krishna Returns to the City of Hastinapura","Krishna Book","73","Complete Krishna Book Chapter 73","This source-bounded episode follows Lord Krishna Returns to the City of Hastinapura and presents its central turning point with child-safe clarity, chronological fidelity, and a devotional focus.","central event of Chapter 73|chronological source boundary|devotional lesson","full source quotation|material from Chapter 72|material from Chapter 74","Opening of Krishna Book Chapter 73","Conclusion of Krishna Book Chapter 73","6-12","standard","Krishna's protection wisdom and loving relationships","DRAW_AND_REFLECT","bedtime_story","true"
"077","the-deliverance-of-sisupala","The Deliverance of Sisupala","Krishna Book","74","Complete Krishna Book Chapter 74","This source-bounded episode follows The Deliverance of Sisupala and presents its central turning point with child-safe clarity, chronological fidelity, and a devotional focus.","central event of Chapter 74|chronological source boundary|devotional lesson","full source quotation|material from Chapter 73|material from Chapter 75","Opening of Krishna Book Chapter 74","Conclusion of Krishna Book Chapter 74","6-12","standard","Krishna's protection wisdom and loving relationships","STORY_SEQUENCE","bedtime_story","true"
"078","why-duryodhana-felt-insulted-at-the-end-of-the-rajasuya-sacrifice","Why Duryodhana Felt Insulted at the End of the Rajasuya Sacrifice","Krishna Book","75","Complete Krishna Book Chapter 75","This source-bounded episode follows Why Duryodhana Felt Insulted at the End of the Rajasuya Sacrifice and presents its central turning point with child-safe clarity, chronological fidelity, and a devotional focus.","central event of Chapter 75|chronological source boundary|devotional lesson","full source quotation|material from Chapter 74|material from Chapter 76","Opening of Krishna Book Chapter 75","Conclusion of Krishna Book Chapter 75","6-12","gentle child adaptation required","Krishna's protection wisdom and loving relationships","MINI_DRAMA","bedtime_story","true"
"079","the-battle-between-salva-and-members-of-the-yadu-dynasty","The Battle Between Salva and Members of the Yadu Dynasty","Krishna Book","76","Complete Krishna Book Chapter 76","This source-bounded episode follows The Battle Between Salva and Members of the Yadu Dynasty and presents its central turning point with child-safe clarity, chronological fidelity, and a devotional focus.","central event of Chapter 76|chronological source boundary|devotional lesson","full source quotation|material from Chapter 75|material from Chapter 77","Opening of Krishna Book Chapter 76","Conclusion of Krishna Book Chapter 76","6-12","gentle child adaptation required","Krishna's protection wisdom and loving relationships","MATCHING_GAME","bedtime_story","true"
"080","the-deliverance-of-salva","The Deliverance of Salva","Krishna Book","77","Complete Krishna Book Chapter 77","This source-bounded episode follows The Deliverance of Salva and presents its central turning point with child-safe clarity, chronological fidelity, and a devotional focus.","central event of Chapter 77|chronological source boundary|devotional lesson","full source quotation|material from Chapter 76|material from Chapter 78","Opening of Krishna Book Chapter 77","Conclusion of Krishna Book Chapter 77","6-12","standard","Krishna's protection wisdom and loving relationships","STORY_MAP","bedtime_story","true"
"081","krishna-protects-everyone-from-dantavakra-viduratha-and-romaharsana","Krishna Protects Everyone from Dantavakra, Viduratha and Romaharsana","Krishna Book","78","Complete Krishna Book Chapter 78","This source-bounded episode follows The Killing of Dantavakra, Viduratha and Romaharsana and presents its central turning point with child-safe clarity, chronological fidelity, and a devotional focus.","central event of Chapter 78|chronological source boundary|devotional lesson","full source quotation|material from Chapter 77|material from Chapter 79","Opening of Krishna Book Chapter 78","Conclusion of Krishna Book Chapter 78","6-12","gentle child adaptation required","Krishna's protection wisdom and loving relationships","FAMILY_MISSION","bedtime_story","true"
"082","the-liberation-of-balvala-and-lord-balarama-s-touring-the-sacred-place","The Liberation of Balvala, and Lord Balarama's Touring the Sacred Places","Krishna Book","79","Complete Krishna Book Chapter 79","This source-bounded episode follows The Liberation of Balvala, and Lord Balarama's Touring the Sacred Places and presents its central turning point with child-safe clarity, chronological fidelity, and a devotional focus.","central event of Chapter 79|chronological source boundary|devotional lesson","full source quotation|material from Chapter 78|material from Chapter 80","Opening of Krishna Book Chapter 79","Conclusion of Krishna Book Chapter 79","6-12","standard","Krishna's protection wisdom and loving relationships","DRAW_AND_REFLECT","bedtime_story","true"
"083","the-meeting-of-lord-krishna-with-sudama-brahmana","The Meeting of Lord Krishna with Sudama Brahmana","Krishna Book","80","Complete Krishna Book Chapter 80","This source-bounded episode follows The Meeting of Lord Krishna with Sudama Brahmana and presents its central turning point with child-safe clarity, chronological fidelity, and a devotional focus.","central event of Chapter 80|chronological source boundary|devotional lesson","full source quotation|material from Chapter 79|material from Chapter 81","Opening of Krishna Book Chapter 80","Conclusion of Krishna Book Chapter 80","6-12","standard","Krishna's protection wisdom and loving relationships","STORY_SEQUENCE","bedtime_story","true"
"084","the-brahmana-sudama-blessed-by-lord-krishna","The Brahmana Sudama Blessed by Lord Krishna","Krishna Book","81","Complete Krishna Book Chapter 81","This source-bounded episode follows The Brahmana Sudama Blessed by Lord Krishna and presents its central turning point with child-safe clarity, chronological fidelity, and a devotional focus.","central event of Chapter 81|chronological source boundary|devotional lesson","full source quotation|material from Chapter 80|material from Chapter 82","Opening of Krishna Book Chapter 81","Conclusion of Krishna Book Chapter 81","6-12","standard","Krishna's protection wisdom and loving relationships","MINI_DRAMA","bedtime_story","true"
"085","lord-krishna-and-balarama-meet-the-inhabitants-of-vrindavana","Lord Krishna and Balarama Meet the Inhabitants of Vrindavana","Krishna Book","82","Complete Krishna Book Chapter 82","This source-bounded episode follows Lord Krishna and Balarama Meet the Inhabitants of Vrindavana and presents its central turning point with child-safe clarity, chronological fidelity, and a devotional focus.","central event of Chapter 82|chronological source boundary|devotional lesson","full source quotation|material from Chapter 81|material from Chapter 83","Opening of Krishna Book Chapter 82","Conclusion of Krishna Book Chapter 82","6-12","standard","Krishna's protection wisdom and loving relationships","MATCHING_GAME","bedtime_story","true"
"086","draupadi-meets-the-queens-of-krishna","Draupadi Meets the Queens of Krishna","Krishna Book","83","Complete Krishna Book Chapter 83","This source-bounded episode follows Draupadi Meets the Queens of Krishna and presents its central turning point with child-safe clarity, chronological fidelity, and a devotional focus.","central event of Chapter 83|chronological source boundary|devotional lesson","full source quotation|material from Chapter 82|material from Chapter 84","Opening of Krishna Book Chapter 83","Conclusion of Krishna Book Chapter 83","6-12","standard","Krishna's protection wisdom and loving relationships","STORY_MAP","bedtime_story","true"
"087","sacrificial-ceremonies-performed-by-vasudeva","Sacrificial Ceremonies Performed by Vasudeva","Krishna Book","84","Complete Krishna Book Chapter 84","This source-bounded episode follows Sacrificial Ceremonies Performed by Vasudeva and presents its central turning point with child-safe clarity, chronological fidelity, and a devotional focus.","central event of Chapter 84|chronological source boundary|devotional lesson","full source quotation|material from Chapter 83|material from Chapter 85","Opening of Krishna Book Chapter 84","Conclusion of Krishna Book Chapter 84","6-12","standard","Krishna's protection wisdom and loving relationships","FAMILY_MISSION","bedtime_story","true"
"088","spiritual-instruction-for-vasudeva-and-the-return-of-the-six-sons-of-d","Spiritual Instruction for Vasudeva, and the Return of the Six Sons of Devaki","Krishna Book","85","Complete Krishna Book Chapter 85","This source-bounded episode follows Spiritual Instruction for Vasudeva, and the Return of the Six Sons of Devaki and presents its central turning point with child-safe clarity, chronological fidelity, and a devotional focus.","central event of Chapter 85|chronological source boundary|devotional lesson","full source quotation|material from Chapter 84|material from Chapter 86","Opening of Krishna Book Chapter 85","Conclusion of Krishna Book Chapter 85","6-12","standard","Krishna's protection wisdom and loving relationships","DRAW_AND_REFLECT","bedtime_story","true"
"089","the-kidnapping-of-subhadra-and-lord-krishna-s-visiting-srutadeva-and-b","The Kidnapping of Subhadra, and Lord Krishna's Visiting Srutadeva and Bahulasva","Krishna Book","86","Complete Krishna Book Chapter 86","This source-bounded episode follows The Kidnapping of Subhadra, and Lord Krishna's Visiting Srutadeva and Bahulasva and presents its central turning point with child-safe clarity, chronological fidelity, and a devotional focus.","central event of Chapter 86|chronological source boundary|devotional lesson","full source quotation|material from Chapter 85|material from Chapter 87","Opening of Krishna Book Chapter 86","Conclusion of Krishna Book Chapter 86","6-12","gentle child adaptation required","Krishna's protection wisdom and loving relationships","STORY_SEQUENCE","bedtime_story","true"
"090","prayers-by-the-personified-vedas","Prayers by the Personified Vedas","Krishna Book","87","Complete Krishna Book Chapter 87","This source-bounded episode follows Prayers by the Personified Vedas and presents its central turning point with child-safe clarity, chronological fidelity, and a devotional focus.","central event of Chapter 87|chronological source boundary|devotional lesson","full source quotation|material from Chapter 86|material from Chapter 88","Opening of Krishna Book Chapter 87","Conclusion of Krishna Book Chapter 87","6-12","standard","Krishna's protection wisdom and loving relationships","MINI_DRAMA","bedtime_story","true"
"091","the-deliverance-of-lord-siva","The Deliverance of Lord Siva","Krishna Book","88","Complete Krishna Book Chapter 88","This source-bounded episode follows The Deliverance of Lord Siva and presents its central turning point with child-safe clarity, chronological fidelity, and a devotional focus.","central event of Chapter 88|chronological source boundary|devotional lesson","full source quotation|material from Chapter 87|material from Chapter 89","Opening of Krishna Book Chapter 88","Conclusion of Krishna Book Chapter 88","6-12","standard","Krishna's protection wisdom and loving relationships","MATCHING_GAME","bedtime_story","true"
"092","the-superexcellent-power-of-krishna","The Superexcellent Power of Krishna","Krishna Book","89","Complete Krishna Book Chapter 89","This source-bounded episode follows The Superexcellent Power of Krishna and presents its central turning point with child-safe clarity, chronological fidelity, and a devotional focus.","central event of Chapter 89|chronological source boundary|devotional lesson","full source quotation|material from Chapter 88|material from Chapter 90","Opening of Krishna Book Chapter 89","Conclusion of Krishna Book Chapter 89","6-12","standard","Krishna's protection wisdom and loving relationships","STORY_MAP","bedtime_story","true"
"093","summary-description-of-lord-krishna-s-pastimes","Summary Description of Lord Krishna's Pastimes","Krishna Book","90","Complete Krishna Book Chapter 90","This source-bounded episode follows Summary Description of Lord Krishna's Pastimes and presents its central turning point with child-safe clarity, chronological fidelity, and a devotional focus.","central event of Chapter 90|chronological source boundary|devotional lesson","full source quotation|material from Chapter 89|material from Chapter 91","Opening of Krishna Book Chapter 90","Conclusion of Krishna Book Chapter 90","6-12","standard","Krishna's protection wisdom and loving relationships","FAMILY_MISSION","bedtime_story","true"
