chapter_no,slug,title,project,library_id,source_reference,scripture_reference,summary_seed,age_range,package_type,send_date,notes,must_include,must_avoid,start_boundary,end_boundary
042,vidyadhara-liberated-and-the-demon-sankhacuda-and-krishna-s-protection,Vidyadhara Liberated and the Demon Sankhacuda and Krishna's Protection,krishna_book_bedtime,krishna_book,Krishna Book Chapter 34,Complete Krishna Book Chapter 34,"This source-bounded episode follows Vidyadhara Liberated and the Demon Sankhacuda Killed and presents its central turning point with child-safe clarity, chronological fidelity, and a devotional focus.",6-12,bedtime_story,,theme=Krishna's protection wisdom and loving relationships; sensitivity=gentle child adaptation required; activity=MATCHING_GAME,central event of Chapter 34|chronological source boundary|devotional lesson,full source quotation|material from Chapter 33|material from Chapter 35,Opening of Krishna Book Chapter 34,Conclusion of Krishna Book Chapter 34
043,the-gopis-feelings-of-separation,The Gopis' Feelings of Separation,krishna_book_bedtime,krishna_book,Krishna Book Chapter 35,Complete Krishna Book Chapter 35,"This source-bounded episode follows The Gopis' Feelings of Separation and presents its central turning point with child-safe clarity, chronological fidelity, and a devotional focus.",6-12,bedtime_story,,theme=Krishna's protection wisdom and loving relationships; sensitivity=gentle child adaptation required; activity=STORY_MAP,central event of Chapter 35|chronological source boundary|devotional lesson,full source quotation|material from Chapter 34|material from Chapter 36,Opening of Krishna Book Chapter 35,Conclusion of Krishna Book Chapter 35
044,kamsa-sends-akrura-for-krishna,Kamsa Sends Akrura for Krishna,krishna_book_bedtime,krishna_book,Krishna Book Chapter 36,Complete Krishna Book Chapter 36,"This source-bounded episode follows Kamsa Sends Akrura for Krishna and presents its central turning point with child-safe clarity, chronological fidelity, and a devotional focus.",6-12,bedtime_story,,theme=Krishna's protection wisdom and loving relationships; sensitivity=standard; activity=FAMILY_MISSION,central event of Chapter 36|chronological source boundary|devotional lesson,full source quotation|material from Chapter 35|material from Chapter 37,Opening of Krishna Book Chapter 36,Conclusion of Krishna Book Chapter 36
045,krishna-protects-vrindavana-from-kesi-and-vyomasura,Krishna Protects Vrindavana from Kesi and Vyomasura,krishna_book_bedtime,krishna_book,Krishna Book Chapter 37,Complete Krishna Book Chapter 37,"This source-bounded episode follows Killing the Kesi Demon and Vyomasura and presents its central turning point with child-safe clarity, chronological fidelity, and a devotional focus.",6-12,bedtime_story,,theme=Krishna's protection wisdom and loving relationships; sensitivity=gentle child adaptation required; activity=DRAW_AND_REFLECT,central event of Chapter 37|chronological source boundary|devotional lesson,full source quotation|material from Chapter 36|material from Chapter 38,Opening of Krishna Book Chapter 37,Conclusion of Krishna Book Chapter 37
046,akrura-s-arrival-in-vrindavana,Akrura's Arrival in Vrindavana,krishna_book_bedtime,krishna_book,Krishna Book Chapter 38,Complete Krishna Book Chapter 38,"This source-bounded episode follows Akrura's Arrival in Vrindavana and presents its central turning point with child-safe clarity, chronological fidelity, and a devotional focus.",6-12,bedtime_story,,theme=Krishna's protection wisdom and loving relationships; sensitivity=standard; activity=STORY_SEQUENCE,central event of Chapter 38|chronological source boundary|devotional lesson,full source quotation|material from Chapter 37|material from Chapter 39,Opening of Krishna Book Chapter 38,Conclusion of Krishna Book Chapter 38
047,akrura-s-return-journey-and-his-vision-of-visnuloka-within-the-yamuna-,Akrura's Return Journey and His Vision of Visnuloka Within the Yamuna River,krishna_book_bedtime,krishna_book,Krishna Book Chapter 39,Complete Krishna Book Chapter 39,"This source-bounded episode follows Akrura's Return Journey and His Vision of Visnuloka Within the Yamuna River and presents its central turning point with child-safe clarity, chronological fidelity, and a devotional focus.",6-12,bedtime_story,,theme=Krishna's protection wisdom and loving relationships; sensitivity=standard; activity=MINI_DRAMA,central event of Chapter 39|chronological source boundary|devotional lesson,full source quotation|material from Chapter 38|material from Chapter 40,Opening of Krishna Book Chapter 39,Conclusion of Krishna Book Chapter 39
048,prayers-by-akrura,Prayers by Akrura,krishna_book_bedtime,krishna_book,Krishna Book Chapter 40,Complete Krishna Book Chapter 40,"This source-bounded episode follows Prayers by Akrura and presents its central turning point with child-safe clarity, chronological fidelity, and a devotional focus.",6-12,bedtime_story,,theme=Krishna's protection wisdom and loving relationships; sensitivity=standard; activity=MATCHING_GAME,central event of Chapter 40|chronological source boundary|devotional lesson,full source quotation|material from Chapter 39|material from Chapter 41,Opening of Krishna Book Chapter 40,Conclusion of Krishna Book Chapter 40
049,krishna-enters-mathura,Krishna Enters Mathura,krishna_book_bedtime,krishna_book,Krishna Book Chapter 41,Complete Krishna Book Chapter 41,"This source-bounded episode follows Krishna Enters Mathura and presents its central turning point with child-safe clarity, chronological fidelity, and a devotional focus.",6-12,bedtime_story,,theme=Krishna's protection wisdom and loving relationships; sensitivity=standard; activity=STORY_MAP,central event of Chapter 41|chronological source boundary|devotional lesson,full source quotation|material from Chapter 40|material from Chapter 42,Opening of Krishna Book Chapter 41,Conclusion of Krishna Book Chapter 41
050,the-breaking-of-the-bow-in-the-sacrificial-arena,The Breaking of the Bow in the Sacrificial Arena,krishna_book_bedtime,krishna_book,Krishna Book Chapter 42,Complete Krishna Book Chapter 42,"This source-bounded episode follows The Breaking of the Bow in the Sacrificial Arena and presents its central turning point with child-safe clarity, chronological fidelity, and a devotional focus.",6-12,bedtime_story,,theme=Krishna's protection wisdom and loving relationships; sensitivity=standard; activity=FAMILY_MISSION,central event of Chapter 42|chronological source boundary|devotional lesson,full source quotation|material from Chapter 41|material from Chapter 43,Opening of Krishna Book Chapter 42,Conclusion of Krishna Book Chapter 42
051,krishna-protects-everyone-from-the-elephant-kuvalayapida,Krishna Protects Everyone from the Elephant Kuvalayapida,krishna_book_bedtime,krishna_book,Krishna Book Chapter 43,Complete Krishna Book Chapter 43,"This source-bounded episode follows The Killing of the Elephant Kuvalayapida and presents its central turning point with child-safe clarity, chronological fidelity, and a devotional focus.",6-12,bedtime_story,,theme=Krishna's protection wisdom and loving relationships; sensitivity=gentle child adaptation required; activity=DRAW_AND_REFLECT,central event of Chapter 43|chronological source boundary|devotional lesson,full source quotation|material from Chapter 42|material from Chapter 44,Opening of Krishna Book Chapter 43,Conclusion of Krishna Book Chapter 43
052,krishna-protects-everyone-from-kamsa,Krishna Protects Everyone from Kamsa,krishna_book_bedtime,krishna_book,Krishna Book Chapter 44,Complete Krishna Book Chapter 44,"This source-bounded episode follows The Killing of Kamsa and presents its central turning point with child-safe clarity, chronological fidelity, and a devotional focus.",6-12,bedtime_story,,theme=Krishna's protection wisdom and loving relationships; sensitivity=gentle child adaptation required; activity=STORY_SEQUENCE,central event of Chapter 44|chronological source boundary|devotional lesson,full source quotation|material from Chapter 43|material from Chapter 45,Opening of Krishna Book Chapter 44,Conclusion of Krishna Book Chapter 44
053,krishna-recovers-the-son-of-his-teacher,Krishna Recovers the Son of His Teacher,krishna_book_bedtime,krishna_book,Krishna Book Chapter 45,Complete Krishna Book Chapter 45,"This source-bounded episode follows Krishna Recovers the Son of His Teacher and presents its central turning point with child-safe clarity, chronological fidelity, and a devotional focus.",6-12,bedtime_story,,theme=Krishna's protection wisdom and loving relationships; sensitivity=standard; activity=MINI_DRAMA,central event of Chapter 45|chronological source boundary|devotional lesson,full source quotation|material from Chapter 44|material from Chapter 46,Opening of Krishna Book Chapter 45,Conclusion of Krishna Book Chapter 45
054,uddhava-visits-vrindavana,Uddhava Visits Vrindavana,krishna_book_bedtime,krishna_book,Krishna Book Chapter 46,Complete Krishna Book Chapter 46,"This source-bounded episode follows Uddhava Visits Vrindavana and presents its central turning point with child-safe clarity, chronological fidelity, and a devotional focus.",6-12,bedtime_story,,theme=Krishna's protection wisdom and loving relationships; sensitivity=standard; activity=MATCHING_GAME,central event of Chapter 46|chronological source boundary|devotional lesson,full source quotation|material from Chapter 45|material from Chapter 47,Opening of Krishna Book Chapter 46,Conclusion of Krishna Book Chapter 46
055,delivery-of-the-message-of-krishna-to-the-gopis,Delivery of the Message of Krishna to the Gopis,krishna_book_bedtime,krishna_book,Krishna Book Chapter 47,Complete Krishna Book Chapter 47,"This source-bounded episode follows Delivery of the Message of Krishna to the Gopis and presents its central turning point with child-safe clarity, chronological fidelity, and a devotional focus.",6-12,bedtime_story,,theme=Krishna's protection wisdom and loving relationships; sensitivity=standard; activity=STORY_MAP,central event of Chapter 47|chronological source boundary|devotional lesson,full source quotation|material from Chapter 46|material from Chapter 48,Opening of Krishna Book Chapter 47,Conclusion of Krishna Book Chapter 47
056,krishna-pleases-his-devotees,Krishna Pleases His Devotees,krishna_book_bedtime,krishna_book,Krishna Book Chapter 48,Complete Krishna Book Chapter 48,"This source-bounded episode follows Krishna Pleases His Devotees and presents its central turning point with child-safe clarity, chronological fidelity, and a devotional focus.",6-12,bedtime_story,,theme=Krishna's protection wisdom and loving relationships; sensitivity=standard; activity=FAMILY_MISSION,central event of Chapter 48|chronological source boundary|devotional lesson,full source quotation|material from Chapter 47|material from Chapter 49,Opening of Krishna Book Chapter 48,Conclusion of Krishna Book Chapter 48
057,ill-motivated-dhrtarastra,Ill-motivated Dhrtarastra,krishna_book_bedtime,krishna_book,Krishna Book Chapter 49,Complete Krishna Book Chapter 49,"This source-bounded episode follows Ill-motivated Dhrtarastra and presents its central turning point with child-safe clarity, chronological fidelity, and a devotional focus.",6-12,bedtime_story,,theme=Krishna's protection wisdom and loving relationships; sensitivity=standard; activity=DRAW_AND_REFLECT,central event of Chapter 49|chronological source boundary|devotional lesson,full source quotation|material from Chapter 48|material from Chapter 50,Opening of Krishna Book Chapter 49,Conclusion of Krishna Book Chapter 49
058,krishna-erects-the-dvaraka-fort,Krishna Erects the Dvaraka Fort,krishna_book_bedtime,krishna_book,Krishna Book Chapter 50,Complete Krishna Book Chapter 50,"This source-bounded episode follows Krishna Erects the Dvaraka Fort and presents its central turning point with child-safe clarity, chronological fidelity, and a devotional focus.",6-12,bedtime_story,,theme=Krishna's protection wisdom and loving relationships; sensitivity=standard; activity=STORY_SEQUENCE,central event of Chapter 50|chronological source boundary|devotional lesson,full source quotation|material from Chapter 49|material from Chapter 51,Opening of Krishna Book Chapter 50,Conclusion of Krishna Book Chapter 50
059,the-deliverance-of-mucukunda,The Deliverance of Mucukunda,krishna_book_bedtime,krishna_book,Krishna Book Chapter 51,Complete Krishna Book Chapter 51,"This source-bounded episode follows The Deliverance of Mucukunda and presents its central turning point with child-safe clarity, chronological fidelity, and a devotional focus.",6-12,bedtime_story,,theme=Krishna's protection wisdom and loving relationships; sensitivity=standard; activity=MINI_DRAMA,central event of Chapter 51|chronological source boundary|devotional lesson,full source quotation|material from Chapter 50|material from Chapter 52,Opening of Krishna Book Chapter 51,Conclusion of Krishna Book Chapter 51
060,krishna-the-ranacora,"Krishna, the Ranacora",krishna_book_bedtime,krishna_book,Krishna Book Chapter 52,Complete Krishna Book Chapter 52,"This source-bounded episode follows Krishna, the Ranacora and presents its central turning point with child-safe clarity, chronological fidelity, and a devotional focus.",6-12,bedtime_story,,theme=Krishna's protection wisdom and loving relationships; sensitivity=standard; activity=MATCHING_GAME,central event of Chapter 52|chronological source boundary|devotional lesson,full source quotation|material from Chapter 51|material from Chapter 53,Opening of Krishna Book Chapter 52,Conclusion of Krishna Book Chapter 52
061,krishna-kidnaps-rukmini,Krishna Kidnaps Rukmini,krishna_book_bedtime,krishna_book,Krishna Book Chapter 53,Complete Krishna Book Chapter 53,"This source-bounded episode follows Krishna Kidnaps Rukmini and presents its central turning point with child-safe clarity, chronological fidelity, and a devotional focus.",6-12,bedtime_story,,theme=Krishna's protection wisdom and loving relationships; sensitivity=gentle child adaptation required; activity=STORY_MAP,central event of Chapter 53|chronological source boundary|devotional lesson,full source quotation|material from Chapter 52|material from Chapter 54,Opening of Krishna Book Chapter 53,Conclusion of Krishna Book Chapter 53
062,krishna-defeats-all-the-princes-and-takes-rukmini-home-to-dvaraka,Krishna Defeats All the Princes and Takes Rukmini Home to Dvaraka,krishna_book_bedtime,krishna_book,Krishna Book Chapter 54,Complete Krishna Book Chapter 54,"This source-bounded episode follows Krishna Defeats All the Princes and Takes Rukmini Home to Dvaraka and presents its central turning point with child-safe clarity, chronological fidelity, and a devotional focus.",6-12,bedtime_story,,theme=Krishna's protection wisdom and loving relationships; sensitivity=standard; activity=FAMILY_MISSION,central event of Chapter 54|chronological source boundary|devotional lesson,full source quotation|material from Chapter 53|material from Chapter 55,Opening of Krishna Book Chapter 54,Conclusion of Krishna Book Chapter 54
063,pradyumna-born-to-krishna-and-rukmini,Pradyumna Born to Krishna and Rukmini,krishna_book_bedtime,krishna_book,Krishna Book Chapter 55,Complete Krishna Book Chapter 55,"This source-bounded episode follows Pradyumna Born to Krishna and Rukmini and presents its central turning point with child-safe clarity, chronological fidelity, and a devotional focus.",6-12,bedtime_story,,theme=Krishna's protection wisdom and loving relationships; sensitivity=standard; activity=DRAW_AND_REFLECT,central event of Chapter 55|chronological source boundary|devotional lesson,full source quotation|material from Chapter 54|material from Chapter 56,Opening of Krishna Book Chapter 55,Conclusion of Krishna Book Chapter 55
064,the-story-of-the-syamantaka-jewel,The Story of the Syamantaka Jewel,krishna_book_bedtime,krishna_book,Krishna Book Chapter 56,Complete Krishna Book Chapter 56,"This source-bounded episode follows The Story of the Syamantaka Jewel and presents its central turning point with child-safe clarity, chronological fidelity, and a devotional focus.",6-12,bedtime_story,,theme=Krishna's protection wisdom and loving relationships; sensitivity=standard; activity=STORY_SEQUENCE,central event of Chapter 56|chronological source boundary|devotional lesson,full source quotation|material from Chapter 55|material from Chapter 57,Opening of Krishna Book Chapter 56,Conclusion of Krishna Book Chapter 56
065,krishna-protects-everyone-from-satrajit-and-satadhanva,Krishna Protects Everyone from Satrajit and Satadhanva,krishna_book_bedtime,krishna_book,Krishna Book Chapter 57,Complete Krishna Book Chapter 57,"This source-bounded episode follows The Killing of Satrajit and Satadhanva and presents its central turning point with child-safe clarity, chronological fidelity, and a devotional focus.",6-12,bedtime_story,,theme=Krishna's protection wisdom and loving relationships; sensitivity=gentle child adaptation required; activity=MINI_DRAMA,central event of Chapter 57|chronological source boundary|devotional lesson,full source quotation|material from Chapter 56|material from Chapter 58,Opening of Krishna Book Chapter 57,Conclusion of Krishna Book Chapter 57
066,five-queens-married-by-krishna,Five Queens Married by Krishna,krishna_book_bedtime,krishna_book,Krishna Book Chapter 58,Complete Krishna Book Chapter 58,"This source-bounded episode follows Five Queens Married by Krishna and presents its central turning point with child-safe clarity, chronological fidelity, and a devotional focus.",6-12,bedtime_story,,theme=Krishna's protection wisdom and loving relationships; sensitivity=standard; activity=MATCHING_GAME,central event of Chapter 58|chronological source boundary|devotional lesson,full source quotation|material from Chapter 57|material from Chapter 59,Opening of Krishna Book Chapter 58,Conclusion of Krishna Book Chapter 58
067,the-deliverance-of-the-demon-bhaumasura,The Deliverance of the Demon Bhaumasura,krishna_book_bedtime,krishna_book,Krishna Book Chapter 59,Complete Krishna Book Chapter 59,"This source-bounded episode follows The Deliverance of the Demon Bhaumasura and presents its central turning point with child-safe clarity, chronological fidelity, and a devotional focus.",6-12,bedtime_story,,theme=Krishna's protection wisdom and loving relationships; sensitivity=gentle child adaptation required; activity=STORY_MAP,central event of Chapter 59|chronological source boundary|devotional lesson,full source quotation|material from Chapter 58|material from Chapter 60,Opening of Krishna Book Chapter 59,Conclusion of Krishna Book Chapter 59
068,talks-between-krishna-and-rukmini,Talks Between Krishna and Rukmini,krishna_book_bedtime,krishna_book,Krishna Book Chapter 60,Complete Krishna Book Chapter 60,"This source-bounded episode follows Talks Between Krishna and Rukmini and presents its central turning point with child-safe clarity, chronological fidelity, and a devotional focus.",6-12,bedtime_story,,theme=Krishna's protection wisdom and loving relationships; sensitivity=standard; activity=FAMILY_MISSION,central event of Chapter 60|chronological source boundary|devotional lesson,full source quotation|material from Chapter 59|material from Chapter 61,Opening of Krishna Book Chapter 60,Conclusion of Krishna Book Chapter 60
069,the-genealogy-of-the-family-of-krishna,The Genealogy of the Family of Krishna,krishna_book_bedtime,krishna_book,Krishna Book Chapter 61,Complete Krishna Book Chapter 61,"This source-bounded episode follows The Genealogy of the Family of Krishna and presents its central turning point with child-safe clarity, chronological fidelity, and a devotional focus.",6-12,bedtime_story,,theme=Krishna's protection wisdom and loving relationships; sensitivity=standard; activity=DRAW_AND_REFLECT,central event of Chapter 61|chronological source boundary|devotional lesson,full source quotation|material from Chapter 60|material from Chapter 62,Opening of Krishna Book Chapter 61,Conclusion of Krishna Book Chapter 61
070,the-meeting-of-usa-and-aniruddha,The Meeting of Usa and Aniruddha,krishna_book_bedtime,krishna_book,Krishna Book Chapter 62,Complete Krishna Book Chapter 62,"This source-bounded episode follows The Meeting of Usa and Aniruddha and presents its central turning point with child-safe clarity, chronological fidelity, and a devotional focus.",6-12,bedtime_story,,theme=Krishna's protection wisdom and loving relationships; sensitivity=standard; activity=STORY_SEQUENCE,central event of Chapter 62|chronological source boundary|devotional lesson,full source quotation|material from Chapter 61|material from Chapter 63,Opening of Krishna Book Chapter 62,Conclusion of Krishna Book Chapter 62
071,lord-krishna-fights-with-banasura,Lord Krishna Fights with Banasura,krishna_book_bedtime,krishna_book,Krishna Book Chapter 63,Complete Krishna Book Chapter 63,"This source-bounded episode follows Lord Krishna Fights with Banasura and presents its central turning point with child-safe clarity, chronological fidelity, and a devotional focus.",6-12,bedtime_story,,theme=Krishna's protection wisdom and loving relationships; sensitivity=standard; activity=MINI_DRAMA,central event of Chapter 63|chronological source boundary|devotional lesson,full source quotation|material from Chapter 62|material from Chapter 64,Opening of Krishna Book Chapter 63,Conclusion of Krishna Book Chapter 63
072,the-story-of-king-nrga,The Story of King Nrga,krishna_book_bedtime,krishna_book,Krishna Book Chapter 64,Complete Krishna Book Chapter 64,"This source-bounded episode follows The Story of King Nrga and presents its central turning point with child-safe clarity, chronological fidelity, and a devotional focus.",6-12,bedtime_story,,theme=Krishna's protection wisdom and loving relationships; sensitivity=standard; activity=MATCHING_GAME,central event of Chapter 64|chronological source boundary|devotional lesson,full source quotation|material from Chapter 63|material from Chapter 65,Opening of Krishna Book Chapter 64,Conclusion of Krishna Book Chapter 64
073,lord-balarama-visits-vrindavana,Lord Balarama Visits Vrindavana,krishna_book_bedtime,krishna_book,Krishna Book Chapter 65,Complete Krishna Book Chapter 65,"This source-bounded episode follows Lord Balarama Visits Vrindavana and presents its central turning point with child-safe clarity, chronological fidelity, and a devotional focus.",6-12,bedtime_story,,theme=Krishna's protection wisdom and loving relationships; sensitivity=standard; activity=STORY_MAP,central event of Chapter 65|chronological source boundary|devotional lesson,full source quotation|material from Chapter 64|material from Chapter 66,Opening of Krishna Book Chapter 65,Conclusion of Krishna Book Chapter 65
074,the-deliverance-of-paundraka-and-the-king-of-kasi,The Deliverance of Paundraka and the King of Kasi,krishna_book_bedtime,krishna_book,Krishna Book Chapter 66,Complete Krishna Book Chapter 66,"This source-bounded episode follows The Deliverance of Paundraka and the King of Kasi and presents its central turning point with child-safe clarity, chronological fidelity, and a devotional focus.",6-12,bedtime_story,,theme=Krishna's protection wisdom and loving relationships; sensitivity=standard; activity=FAMILY_MISSION,central event of Chapter 66|chronological source boundary|devotional lesson,full source quotation|material from Chapter 65|material from Chapter 67,Opening of Krishna Book Chapter 66,Conclusion of Krishna Book Chapter 66
075,the-deliverance-of-dvivida-gorilla,The Deliverance of Dvivida Gorilla,krishna_book_bedtime,krishna_book,Krishna Book Chapter 67,Complete Krishna Book Chapter 67,"This source-bounded episode follows The Deliverance of Dvivida Gorilla and presents its central turning point with child-safe clarity, chronological fidelity, and a devotional focus.",6-12,bedtime_story,,theme=Krishna's protection wisdom and loving relationships; sensitivity=standard; activity=DRAW_AND_REFLECT,central event of Chapter 67|chronological source boundary|devotional lesson,full source quotation|material from Chapter 66|material from Chapter 68,Opening of Krishna Book Chapter 67,Conclusion of Krishna Book Chapter 67
076,the-marriage-of-samba,The Marriage of Samba,krishna_book_bedtime,krishna_book,Krishna Book Chapter 68,Complete Krishna Book Chapter 68,"This source-bounded episode follows The Marriage of Samba and presents its central turning point with child-safe clarity, chronological fidelity, and a devotional focus.",6-12,bedtime_story,,theme=Krishna's protection wisdom and loving relationships; sensitivity=standard; activity=STORY_SEQUENCE,central event of Chapter 68|chronological source boundary|devotional lesson,full source quotation|material from Chapter 67|material from Chapter 69,Opening of Krishna Book Chapter 68,Conclusion of Krishna Book Chapter 68
077,the-great-sage-narada-visits-the-different-homes-of-lord-krishna,The Great Sage Narada Visits the Different Homes of Lord Krishna,krishna_book_bedtime,krishna_book,Krishna Book Chapter 69,Complete Krishna Book Chapter 69,"This source-bounded episode follows The Great Sage Narada Visits the Different Homes of Lord Krishna and presents its central turning point with child-safe clarity, chronological fidelity, and a devotional focus.",6-12,bedtime_story,,theme=Krishna's protection wisdom and loving relationships; sensitivity=standard; activity=MINI_DRAMA,central event of Chapter 69|chronological source boundary|devotional lesson,full source quotation|material from Chapter 68|material from Chapter 70,Opening of Krishna Book Chapter 69,Conclusion of Krishna Book Chapter 69
078,lord-krishna-s-daily-activities,Lord Krishna's Daily Activities,krishna_book_bedtime,krishna_book,Krishna Book Chapter 70,Complete Krishna Book Chapter 70,"This source-bounded episode follows Lord Krishna's Daily Activities and presents its central turning point with child-safe clarity, chronological fidelity, and a devotional focus.",6-12,bedtime_story,,theme=Krishna's protection wisdom and loving relationships; sensitivity=standard; activity=MATCHING_GAME,central event of Chapter 70|chronological source boundary|devotional lesson,full source quotation|material from Chapter 69|material from Chapter 71,Opening of Krishna Book Chapter 70,Conclusion of Krishna Book Chapter 70
079,lord-krishna-in-indraprastha-city,Lord Krishna in Indraprastha City,krishna_book_bedtime,krishna_book,Krishna Book Chapter 71,Complete Krishna Book Chapter 71,"This source-bounded episode follows Lord Krishna in Indraprastha City and presents its central turning point with child-safe clarity, chronological fidelity, and a devotional focus.",6-12,bedtime_story,,theme=Krishna's protection wisdom and loving relationships; sensitivity=standard; activity=STORY_MAP,central event of Chapter 71|chronological source boundary|devotional lesson,full source quotation|material from Chapter 70|material from Chapter 72,Opening of Krishna Book Chapter 71,Conclusion of Krishna Book Chapter 71
080,the-liberation-of-king-jarasandha,The Liberation of King Jarasandha,krishna_book_bedtime,krishna_book,Krishna Book Chapter 72,Complete Krishna Book Chapter 72,"This source-bounded episode follows The Liberation of King Jarasandha and presents its central turning point with child-safe clarity, chronological fidelity, and a devotional focus.",6-12,bedtime_story,,theme=Krishna's protection wisdom and loving relationships; sensitivity=gentle child adaptation required; activity=FAMILY_MISSION,central event of Chapter 72|chronological source boundary|devotional lesson,full source quotation|material from Chapter 71|material from Chapter 73,Opening of Krishna Book Chapter 72,Conclusion of Krishna Book Chapter 72
081,lord-krishna-returns-to-the-city-of-hastinapura,Lord Krishna Returns to the City of Hastinapura,krishna_book_bedtime,krishna_book,Krishna Book Chapter 73,Complete Krishna Book Chapter 73,"This source-bounded episode follows Lord Krishna Returns to the City of Hastinapura and presents its central turning point with child-safe clarity, chronological fidelity, and a devotional focus.",6-12,bedtime_story,,theme=Krishna's protection wisdom and loving relationships; sensitivity=standard; activity=DRAW_AND_REFLECT,central event of Chapter 73|chronological source boundary|devotional lesson,full source quotation|material from Chapter 72|material from Chapter 74,Opening of Krishna Book Chapter 73,Conclusion of Krishna Book Chapter 73
082,the-deliverance-of-sisupala,The Deliverance of Sisupala,krishna_book_bedtime,krishna_book,Krishna Book Chapter 74,Complete Krishna Book Chapter 74,"This source-bounded episode follows The Deliverance of Sisupala and presents its central turning point with child-safe clarity, chronological fidelity, and a devotional focus.",6-12,bedtime_story,,theme=Krishna's protection wisdom and loving relationships; sensitivity=standard; activity=STORY_SEQUENCE,central event of Chapter 74|chronological source boundary|devotional lesson,full source quotation|material from Chapter 73|material from Chapter 75,Opening of Krishna Book Chapter 74,Conclusion of Krishna Book Chapter 74
083,why-duryodhana-felt-insulted-at-the-end-of-the-rajasuya-sacrifice,Why Duryodhana Felt Insulted at the End of the Rajasuya Sacrifice,krishna_book_bedtime,krishna_book,Krishna Book Chapter 75,Complete Krishna Book Chapter 75,"This source-bounded episode follows Why Duryodhana Felt Insulted at the End of the Rajasuya Sacrifice and presents its central turning point with child-safe clarity, chronological fidelity, and a devotional focus.",6-12,bedtime_story,,theme=Krishna's protection wisdom and loving relationships; sensitivity=gentle child adaptation required; activity=MINI_DRAMA,central event of Chapter 75|chronological source boundary|devotional lesson,full source quotation|material from Chapter 74|material from Chapter 76,Opening of Krishna Book Chapter 75,Conclusion of Krishna Book Chapter 75
084,the-battle-between-salva-and-members-of-the-yadu-dynasty,The Battle Between Salva and Members of the Yadu Dynasty,krishna_book_bedtime,krishna_book,Krishna Book Chapter 76,Complete Krishna Book Chapter 76,"This source-bounded episode follows The Battle Between Salva and Members of the Yadu Dynasty and presents its central turning point with child-safe clarity, chronological fidelity, and a devotional focus.",6-12,bedtime_story,,theme=Krishna's protection wisdom and loving relationships; sensitivity=gentle child adaptation required; activity=MATCHING_GAME,central event of Chapter 76|chronological source boundary|devotional lesson,full source quotation|material from Chapter 75|material from Chapter 77,Opening of Krishna Book Chapter 76,Conclusion of Krishna Book Chapter 76
085,the-deliverance-of-salva,The Deliverance of Salva,krishna_book_bedtime,krishna_book,Krishna Book Chapter 77,Complete Krishna Book Chapter 77,"This source-bounded episode follows The Deliverance of Salva and presents its central turning point with child-safe clarity, chronological fidelity, and a devotional focus.",6-12,bedtime_story,,theme=Krishna's protection wisdom and loving relationships; sensitivity=standard; activity=STORY_MAP,central event of Chapter 77|chronological source boundary|devotional lesson,full source quotation|material from Chapter 76|material from Chapter 78,Opening of Krishna Book Chapter 77,Conclusion of Krishna Book Chapter 77
086,krishna-protects-everyone-from-dantavakra-viduratha-and-romaharsana,"Krishna Protects Everyone from Dantavakra, Viduratha and Romaharsana",krishna_book_bedtime,krishna_book,Krishna Book Chapter 78,Complete Krishna Book Chapter 78,"This source-bounded episode follows The Killing of Dantavakra, Viduratha and Romaharsana and presents its central turning point with child-safe clarity, chronological fidelity, and a devotional focus.",6-12,bedtime_story,,theme=Krishna's protection wisdom and loving relationships; sensitivity=gentle child adaptation required; activity=FAMILY_MISSION,central event of Chapter 78|chronological source boundary|devotional lesson,full source quotation|material from Chapter 77|material from Chapter 79,Opening of Krishna Book Chapter 78,Conclusion of Krishna Book Chapter 78
087,the-liberation-of-balvala-and-lord-balarama-s-touring-the-sacred-place,"The Liberation of Balvala, and Lord Balarama's Touring the Sacred Places",krishna_book_bedtime,krishna_book,Krishna Book Chapter 79,Complete Krishna Book Chapter 79,"This source-bounded episode follows The Liberation of Balvala, and Lord Balarama's Touring the Sacred Places and presents its central turning point with child-safe clarity, chronological fidelity, and a devotional focus.",6-12,bedtime_story,,theme=Krishna's protection wisdom and loving relationships; sensitivity=standard; activity=DRAW_AND_REFLECT,central event of Chapter 79|chronological source boundary|devotional lesson,full source quotation|material from Chapter 78|material from Chapter 80,Opening of Krishna Book Chapter 79,Conclusion of Krishna Book Chapter 79
088,the-meeting-of-lord-krishna-with-sudama-brahmana,The Meeting of Lord Krishna with Sudama Brahmana,krishna_book_bedtime,krishna_book,Krishna Book Chapter 80,Complete Krishna Book Chapter 80,"This source-bounded episode follows The Meeting of Lord Krishna with Sudama Brahmana and presents its central turning point with child-safe clarity, chronological fidelity, and a devotional focus.",6-12,bedtime_story,,theme=Krishna's protection wisdom and loving relationships; sensitivity=standard; activity=STORY_SEQUENCE,central event of Chapter 80|chronological source boundary|devotional lesson,full source quotation|material from Chapter 79|material from Chapter 81,Opening of Krishna Book Chapter 80,Conclusion of Krishna Book Chapter 80
